BHK,Rent,Size,Super Area,Carpet Area,Built Area,Mumbai,Chennai,Bangalore,Hyderabad,Delhi,Kolkata,Semi-Furnished,Unfurnished,Furnished,Bachelors/Family,Bachelors,Family,Bathroom
3,10.308952660644293,7.495541943884256,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2
2,9.210340371976184,6.214608098422191,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
3,10.714417768752456,7.438383530044307,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3
2,9.615805480084347,6.802394763324311,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2
2,9.210340371976184,6.152732694704104,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2
2,10.203592144986466,7.114769448366463,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2
2,11.407564949312402,6.684611727667927,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2
2,9.680344001221918,7.003065458786462,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
2,9.680344001221918,6.396929655216146,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2
2,9.472704636443673,7.170119543449628,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2
4,11.77528972943772,8.160518247477505,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,6
3,11.84939770159144,7.090076835776092,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3
1,9.210340371976184,5.480638923341991,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2,10.126631103850338,7.003065458786462,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2
2,9.872873693918292,7.600902459542082,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2
2,9.210340371976184,4.0943445622221,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
2,9.392661928770137,6.628041376179533,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
2,11.156250521031495,6.551080335043404,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2
6,11.002099841204238,7.937374696163295,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7
2,9.210340371976184,6.620073206530356,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2
2,11.461632170582678,6.684611727667927,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2
2,10.203592144986466,7.346010209913293,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3
2,9.740968623038354,6.907755278982137,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2
3,11.289781913656018,7.24422751560335,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3
2,12.100712129872347,7.090076835776092,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3
1,10.596634733096073,6.522092798170152,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4
3,10.126631103850338,7.600902459542082,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3
2,9.104979856318357,6.774223886357614,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
2,9.159047077588632,6.745236349484363,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
2,9.472704636443673,4.248495242049359,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
2,11.002099841204238,6.856461984594587,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2
3,9.740968623038354,7.299797366758161,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2
3,10.308952660644293,7.381501894506707,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
1,9.903487552536127,6.309918278226516,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2
3,11.156236235215168,6.856461984594587,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
2,9.546812608597396,6.802394763324311,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2
2,10.308952660644293,6.907755278982137,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2
1,8.699514748210191,6.476972362889683,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
